tSNE1,tSNE2,Split
7.5604405,-1.3978975,Strat
-7.280784,-32.789104,Total
-6.897954,-35.365685,Total
-7.2279744,-35.418987,Strat
-5.573893,-33.684006,Total
-5.498312,-34.211452,Total
10.062882,1.2222776,Total
10.133405,1.1292028,Total
8.784982,0.5098098,Total
10.108236,0.9816419,Total
22.149347,27.630476,Total
7.587248,-1.7048278,Total
29.580263,-10.58423,Total
23.862123,-11.965046,Strat
23.980156,-12.272584,Total
21.805222,-27.542883,Total
-25.201088,-17.474148,Total
-24.941465,-18.78423,Total
-24.500656,-18.910198,Total
-25.008455,-18.742428,Total
-25.98268,-18.903332,Total
-25.427582,-19.670465,Total
-25.061838,-19.511889,Total
6.598237,-43.083725,Total
-41.261005,-1.2903796,Total
-25.71235,-18.769543,Strat
-32.042183,-18.454586,Total
-30.707594,-19.79316,Total
-6.1104894,23.866173,Total
-7.887753,26.453024,Total
21.79867,-27.55708,Total
37.247257,-3.3678787,Total
12.210713,-26.128777,Total
-33.940865,-16.79372,Total
23.757837,22.009783,Total
36.67615,-4.233594,Total
23.498283,22.14267,Total
37.48085,-4.5997696,Total
38.50832,-2.568962,Total
37.81518,-5.872262,Total
14.941036,28.150959,Total
38.027863,-5.3471384,Strat
37.418354,-5.1442623,Total
15.702557,28.771444,Total
23.559702,22.111698,Total
-29.879965,-13.927214,Total
-29.825186,-14.202366,Total
38.83165,-3.972592,Total
37.443974,-4.5097795,Total
37.288578,-3.3936958,Total
-29.68688,-0.5104789,Total
-30.264442,0.29534167,Strat
21.118488,27.153433,Total
-5.10516,7.0396967,Total
-32.042343,-18.53824,Total
-31.506075,-19.30738,Total
-31.972107,-18.093565,Total
-37.924637,-18.691725,Total
-33.92885,-20.597246,Total
-33.655655,-22.181564,Total
-34.56891,-19.348167,Total
29.190252,-11.416661,Strat
50.070705,6.7193017,Total
50.07644,4.0368342,Total
35.293354,-10.192922,Total
36.96144,-11.2526455,Total
35.825813,-10.324452,Total
22.411383,-4.842023,Total
36.063374,-11.444538,Total
-12.4102,30.728334,Total
20.605528,27.481363,Strat
-18.85355,39.6667,Total
48.380898,4.8460813,Total
-16.825825,-34.805584,Total
-2.0784066,-17.872509,Total
47.606815,4.4241753,Total
27.358967,-29.631971,Total
46.738415,3.254768,Strat
-9.300894,-23.46814,Total
6.7052383,-14.073988,Total
-29.025557,8.2085285,Total
-17.668966,-6.0985146,Total
-25.878347,0.5727724,Total
-16.122746,-10.565507,Total
-13.689789,0.74509203,Total
-18.764223,0.17306672,Total
-10.422854,-4.2534723,Total
-19.37535,2.5263574,Total
-20.217562,3.5794365,Strat
-19.67744,-0.99100816,Total
-14.8839445,-6.6970563,Total
-16.667953,-5.7718077,Total
-13.826064,-5.889159,Total
-13.075821,-7.4607615,Total
-18.478834,2.0282362,Total
-12.193042,-10.374638,Total
-14.455237,1.0591162,Total
-12.155522,-10.498998,Total
-21.724976,2.960858,Strat
-10.608522,-6.4952006,Total
-12.025493,-6.555812,Total
-19.13419,3.0887272,Total
-20.024418,0.65831286,Total
-14.256428,0.9983112,Strat
-15.461772,0.52384967,Total
-15.923661,-7.828084,Total
-14.398979,0.4454253,Total
-24.48159,1.1339732,Strat
-24.37523,1.0463643,Total
-13.134681,-7.6756973,Total
-15.966334,-6.079492,Total
-21.933834,0.038345434,Total
-16.611536,-5.0904803,Total
-14.649586,-5.4080234,Total
-17.700348,1.8038137,Total
13.190178,-8.883011,Total
13.137531,-8.854083,Total
13.549346,-8.667475,Total
29.37879,-21.90411,Total
28.682053,-21.00928,Strat
29.885288,-23.654507,Total
31.312592,-21.015207,Total
28.857574,-21.81516,Total
32.302353,-24.040585,Total
31.623718,-23.054672,Total
30.66677,-22.22749,Total
28.36552,-21.771927,Total
29.088228,-23.550993,Total
29.665127,-22.747734,Total
29.540394,-22.207159,Total
32.989487,-24.240473,Total
29.400434,-20.270395,Total
32.44424,-23.205582,Strat
29.46803,-19.80253,Total
28.725166,-18.17267,Total
27.248032,-21.612806,Strat
28.470226,-22.860344,Total
18.06562,-6.3100944,Total
17.633825,-6.6730404,Total
29.277359,-16.145893,Total
-14.087149,-3.2022288,Total
25.965866,-23.052208,Total
26.689594,-24.239542,Total
35.373756,-28.186653,Total
35.135574,-27.471224,Total
35.283115,-28.104816,Total
34.05681,-27.970379,Total
35.264446,-27.738123,Total
3.0975358,10.198327,Total
27.592308,-17.951096,Total
15.121295,-23.975733,Total
14.424016,-24.131023,Total
13.81968,-24.310587,Strat
14.812546,-21.537523,Total
14.773827,-21.738771,Total
14.258219,-22.43648,Total
14.604214,-22.911121,Total
14.546383,-23.44847,Strat
14.040185,-23.907736,Total
22.595793,-21.648472,Total
33.52938,-22.947155,Total
32.258568,-19.50602,Total
28.900494,-16.574612,Total
30.264528,-18.701168,Total
31.343765,-18.40641,Total
-17.910728,-3.2183986,Total
10.373551,-5.9600515,Total
13.1745615,-4.262121,Total
12.108687,-5.1364045,Total
11.901811,-5.231685,Total
18.704243,-4.7086077,Strat
-20.959843,-0.29668275,Total
-11.544034,-6.490671,Total
-23.14219,3.5337083,Total
-20.643946,2.492548,Total
-20.050646,3.386104,Total
-19.200232,2.9303534,Total
-20.08876,4.9586635,Total
-16.110872,-10.571316,Total
-21.095024,-3.0193353,Total
-18.923908,3.6226952,Total
-21.946253,1.3131298,Strat
-20.62634,-1.2204412,Total
16.847084,-8.678194,Total
24.216959,-19.711948,Total
13.175378,-3.406207,Total
9.503544,-42.361996,Total
11.161879,-4.3309193,Total
12.32279,-4.071327,Total
24.180872,-19.848335,Total
9.188304,-42.946587,Total
5.253587,8.865587,Total
5.316897,8.82377,Total
13.940786,-3.1499848,Total
9.429852,-42.622402,Total
24.485607,-19.139118,Total
9.343295,-42.503223,Total
23.464403,-16.048826,Total
24.422453,-20.675398,Total
23.601019,-22.04725,Total
23.627378,-21.943375,Total
20.229158,-7.24988,Strat
20.478376,-8.22667,Total
19.057045,-8.481984,Total
19.119307,-8.269681,Total
19.950209,-8.125753,Total
19.715769,-7.3545117,Total
22.040152,-9.639401,Total
21.274052,-8.643103,Total
21.76798,-9.403807,Total
29.370367,-17.512873,Total
-13.272154,-3.8665514,Strat
23.248571,27.06252,Total
29.733784,-17.196766,Total
30.801336,-16.692526,Total
32.21725,-22.418507,Total
34.630863,-23.934525,Total
33.30039,-21.808565,Total
32.09991,-21.362429,Total
33.902832,-18.68845,Total
27.590897,-19.73404,Total
32.31427,-22.444016,Total
13.213478,-41.58688,Total
33.231224,-18.649796,Total
35.0292,-20.676132,Total
30.845228,-20.234163,Total
33.071392,-20.231682,Total
13.198763,-41.588696,Total
30.897577,-24.028349,Strat
34.84792,-20.786507,Total
30.247532,-21.296738,Total
29.70096,-20.85754,Total
32.257862,-16.806042,Strat
37.823376,-22.354298,Total
30.528738,-17.814863,Total
30.39429,-20.088821,Total
30.723047,-19.390995,Total
37.829205,-22.344341,Total
16.419662,-6.8819733,Total
17.040178,-6.1538134,Total
15.812451,-7.7039843,Total
16.146816,-7.760416,Total
16.289745,-8.3253,Total
10.966549,-43.18368,Total
12.08842,-42.695187,Total
11.467143,-43.232475,Total
11.515828,-43.36203,Total
16.785624,-5.029612,Total
16.250813,-5.0652943,Strat
14.787201,-5.6094594,Total
14.468802,-6.072479,Total
14.183458,-4.763498,Total
8.508527,-20.573584,Total
13.472486,-5.611552,Total
14.498046,-4.349389,Strat
14.434075,-4.6145687,Total
15.628198,-3.5984805,Total
15.056041,-4.54542,Total
16.569857,-3.3414662,Total
22.498493,27.542585,Total
35.02422,-17.924572,Total
29.588497,-14.963372,Total
-12.240634,-3.9135673,Total
-13.171647,-4.704904,Total
-13.44901,-4.4514546,Strat
-15.463196,-1.5214815,Total
-15.619404,-2.591127,Total
-16.75915,-3.4628732,Total
-16.877594,-3.0670962,Total
8.20397,-42.86403,Total
-16.88508,-2.9838784,Total
-15.398335,-1.7541553,Total
-14.49999,-1.2950913,Total
-14.989089,-2.92522,Total
-14.592701,-1.8984451,Total
-18.485308,4.3873835,Total
8.778231,-45.252136,Strat
9.809859,-45.6647,Strat
9.200886,-46.78118,Total
9.4817,-46.27807,Total
-37.211002,7.3370986,Total
-39.10674,5.865193,Total
-39.113037,6.0564556,Total
-36.104553,9.275714,Strat
-36.57259,9.233121,Total
-36.187416,8.651211,Total
-35.587574,8.018919,Total
-36.37678,7.3767195,Total
-36.2793,6.601784,Total
-35.683784,7.2869825,Total
-35.778687,6.3762045,Total
-39.253815,5.5081005,Total
-11.222751,-3.682062,Total
-36.69822,8.514818,Total
-37.396664,9.010028,Strat
-36.49287,6.8220224,Total
-41.252064,-1.2665505,Total
-39.366455,6.2229605,Total
-12.910584,-1.807588,Total
-12.452443,-1.809157,Strat
-12.633362,-2.9587677,Total
-12.363678,-2.2440014,Total
-12.119567,-4.019014,Total
-22.976755,5.127512,Total
-21.997843,4.4864006,Total
-12.353821,-6.039424,Total
-20.321995,0.2657917,Total
-17.348053,3.2966404,Total
-17.460669,3.0875585,Total
-17.398434,2.4080732,Strat
-16.494951,3.5749457,Total
-15.699,3.0784478,Strat
-17.031837,3.6564636,Total
-16.814543,2.815248,Total
28.027184,-17.209522,Total
11.543939,-12.669485,Total
-17.029,-34.71247,Total
-2.2394106,-18.638329,Total
29.057816,-11.446408,Total
27.342524,-14.90851,Total
26.891033,-14.361767,Total
24.341373,-13.409841,Total
6.8104386,-27.34432,Total
-36.811115,-18.316362,Total
-34.604954,-18.305391,Total
-34.921936,-19.007448,Total
-36.92916,-18.35874,Total
6.6634016,-14.044274,Total
21.739876,4.199495,Total
27.89153,-9.923981,Total
1.091822,-25.09264,Total
0.39421222,-20.809809,Total
0.38630342,-20.940443,Total
-28.255646,5.3713813,Total
-32.168354,5.3530073,Total
-32.224728,5.2699614,Total
-32.91591,6.609832,Total
-31.444914,5.556248,Total
-29.998915,4.631282,Total
-30.766708,4.642996,Total
-29.580015,4.3726296,Total
-25.90665,4.0744076,Total
-25.452328,5.1590157,Total
-31.554052,7.7332664,Total
-28.107447,4.056986,Total
25.821602,-16.932188,Strat
9.276078,-0.031093698,Total
-34.372307,4.6294537,Total
-38.2018,4.572683,Total
25.754932,-16.894888,Total
10.699178,-1.4684337,Total
-7.2786355,-28.798412,Total
-7.2999654,-28.967085,Total
14.568169,-17.144295,Total
14.510356,-17.066126,Total
14.694392,-17.297033,Total
-8.192143,-31.930088,Total
-9.596496,-34.44244,Strat
-7.301625,-33.804783,Total
-7.065035,-32.84385,Total
-6.8179784,-33.30884,Total
-7.961213,-34.199398,Total
-7.098103,-34.802372,Total
-6.4882045,-33.509045,Total
-6.053977,-32.717583,Total
-8.395504,-33.51564,Total
1.7678403,-16.537518,Total
-30.505928,6.3027706,Total
7.202853,-44.88156,Total
-30.758087,4.675477,Strat
-14.508377,23.32127,Total
27.487795,-16.478197,Total
-23.276892,-1.5580161,Total
10.695305,-1.4627092,Total
-8.857509,-37.81038,Total
-8.853781,-37.837456,Total
-8.798649,-35.39956,Total
-40.318478,4.673958,Total
8.601272,-43.528133,Total
-32.116486,3.4424849,Total
6.950602,-44.93786,Total
1.570682,-13.949305,Total
-14.030508,-13.47639,Total
-7.481724,9.099761,Strat
-7.4697776,-7.7166815,Total
-33.03618,6.907954,Total
-32.16633,4.4195538,Total
-32.742344,5.0215316,Strat
-31.056473,7.150658,Total
-7.0288363,-8.064557,Total
-28.449453,5.4129596,Strat
-26.59368,3.4112954,Total
-26.83754,2.9972496,Total
-26.447231,3.7011802,Strat
-27.653543,3.1316166,Total
23.47024,-12.825386,Total
23.456177,-13.117338,Total
-14.120846,-23.900545,Total
-3.6915944,36.867085,Strat
-6.300738,32.197113,Total
-0.89158696,29.490347,Total
-2.4624484,31.207022,Strat
48.201393,3.9171188,Total
-35.550823,-30.237476,Total
49.87567,5.800939,Total
39.595516,-10.746169,Total
-18.610865,39.092186,Total
22.450638,-33.42024,Total
4.3710933,-3.7667384,Total
-36.105133,-24.375683,Total
50.8201,5.9812374,Total
6.3548875,-1.4379368,Total
27.60372,8.434306,Total
-36.31275,-23.25904,Total
