Folder,tSNE1,tSNE2,Outcome
1AJU,-11.073634,-8.073609,TN
1AJU_DMA-182,-8.857509,-37.81038,TN
1BYJ_Gentamicin_c1,-16.877594,-3.0670962,FN
1DL8_Compound_9,-28.89851,-1.8887366,TP
1EVV_Neomycin,3.3695273,18.905708,TN
1F1T_malachite_green,-36.31275,-23.25904,TP
1FYP,-19.011944,-12.374728,TP
1KOD,-29.29816,13.134964,TN
1NTA,0.4823221,22.02682,FP
"1PBR_2-N,2-N-dimethylquinoline-2,4-diamine",-36.043533,-7.2056575,TN
1PBR_4-(4-chlorophenyl)-N-(2-(pyrrolidin-1-yl)ethyl)phthalazin-1-amine,1.9767632,-3.6329703,TN
"1PBR_5,6-dimethyl-1H-1,3-benzodiazol-2-amine",10.133405,1.1292028,TN
"1PBR_6-chloro-3-((4-methyl-1,4-diazepan-1-yl)methyl)-4H-chromen-4-one",7.0127344,-31.0191,TN
1PBR_Aminoglycoside_derivative_10,-32.16633,4.4195538,TP
1PBR_Aminoglycoside_derivative_33,21.274052,-8.643103,TP
1PBR_Aminoglycoside_derivative_8,21.76798,-9.403807,FP
1PBR_Diamino_piperidinyl_triazine_3,-7.109437,32.40389,TN
1PBR_Diamino_piperidinyl_triazine_8,-19.267504,-26.039555,TN
1PBR_Kasugamycin,2.319142,-12.708056,TN
"1PBR_N1-(3,7-dimethoxynaphthalen-1-yl)pentane-1,4-diamine",50.123413,2.5019376,TN
1PBR_Neamine_mimic_1,3.3160486,20.017094,TN
1PBR_Nitro_substituted_benzimidazole_16S_A-site_RNA,-12.435313,15.720212,TN
1PBR_Perazidoparomomycin_derivative_22,5.1510086,-13.3787,TP
1PBR_Perazidoparomomycin_derivative_3,-13.44901,-4.4514546,FP
1PBR_Spiro-compound_5,-18.478834,2.0282362,TN
1PBR_Spiro-ether_compound_3,-26.098223,15.609179,FP
1PBR_benzimidazole_analog_rRNA_12,-25.499773,-4.030788,TN
1PBR_benzimidazole_analog_rRNA_25,24.366714,5.945347,TN
1PBR_benzimidazole_analog_rRNA_26,-17.398434,2.4080732,TN
1PBR_benzimidazole_analog_rRNA_31,-5.491643,28.201406,TN
1PBR_benzimidazole_analog_rRNA_41,-8.041978,14.058982,TN
1PBR_benzimidazole_analog_rRNA_6,-2.4624484,31.207022,TN
1PBR_methylpyridine_der_3,-6.274662,32.45769,TN
1PBR_methylpyridine_der_5,-27.470493,15.587421,TN
1UUI_Amikacin,48.68601,5.6897407,TN
1UUI_DB75,-8.192143,-31.930088,TN
"1UUI_N,N-dimethyl-3-(3-methyl-10H-phenothiazin-10-yl)propan-1-amine",-24.081095,-16.39915,TN
1UUI_Xanthinol,0.1474559,44.708145,TN
1UUI_chloro_piperidine_propyl_der,1.6003036,21.38467,TN
1UUI_dimethylamino_propyl_phenothiazin_der_2,-17.029,-34.71247,TN
1UUI_hydroxymethyl_piperidinyl_propyl,-26.14764,-12.777487,TN
1Y26,-13.004839,-22.681751,FN
1Y27_purine,27.592308,-17.951096,FP
2B57_7-Deazaguanine,29.190252,-11.416661,TP
2ESJ,-25.98268,-18.903332,TP
2F4T,-0.9777031,13.077234,TN
2GDI,-10.694528,7.8874187,TP
