Model,Accuracy (mean),Accuracy (std),Precision (mean),Precision (std),Recall (mean),Recall (std),F1 (mean),F1 (std)
RandomForest,0.795724,0.027515,0.769233,0.068067,0.55754,0.078626,0.64166,0.058121
XGBoost,0.778734,0.025591,0.71006,0.066721,0.580238,0.100286,0.630792,0.060829
GradientBoosting,0.774035,0.030777,0.711839,0.074116,0.548889,0.084417,0.61433,0.063123
Bagging,0.764601,0.032565,0.700314,0.077464,0.523095,0.070875,0.594347,0.056604
DecisionTree,0.719441,0.041948,0.581641,0.068748,0.565873,0.068985,0.571918,0.061284
ExtraTree,0.715588,0.036539,0.573337,0.059327,0.56246,0.07219,0.56632,0.059096
AdaBoost,0.728804,0.03349,0.611414,0.065515,0.508968,0.088822,0.551329,0.068842
RidgeClassifier,0.728831,0.044883,0.620115,0.084818,0.480635,0.093697,0.537797,0.081214
BernoulliNB,0.691077,0.054984,0.540857,0.08167,0.528492,0.072103,0.532172,0.069808
KNeighbors,0.695909,0.042797,0.548967,0.083518,0.429444,0.099253,0.479786,0.091566
LinearSVC,0.617713,0.082486,0.507784,0.150233,0.539206,0.265183,0.449987,0.130382
Random Classifier,0.457644,0.04946,0.317002,0.042759,0.55119,0.074488,0.402509,0.054322
SGDClassifier,0.585699,0.094161,0.479979,0.187788,0.436587,0.365494,0.330978,0.191926
Perceptron,0.646041,0.045985,0.317235,0.217382,0.290556,0.248439,0.288073,0.208841
GaussianNB,0.689252,0.01857,0.642157,0.127821,0.162063,0.040928,0.254909,0.054035
LogisticRegression,0.657212,0.042923,0.363059,0.207789,0.164841,0.159026,0.214823,0.171902
PassiveAggressive,0.641201,0.049012,0.360341,0.302402,0.202857,0.280364,0.186518,0.195997
SVC,0.668559,0.002504,0.0,0.0,0.0,0.0,0.0,0.0
ZeroR (Majority Class),0.668559,0.002504,0.0,0.0,0.0,0.0,0.0,0.0
