tSNE1,tSNE2,Split,Folder
7.5604405,-1.3978975,Strat,1AJU
-7.280784,-32.789104,Total,1AJU_DMA-176
-6.897954,-35.365685,Total,1AJU_DMA-180
-7.2279744,-35.418987,Strat,1AJU_DMA-182
-5.573893,-33.684006,Total,1AJU_DMA-194
-5.498312,-34.211452,Total,1AJU_DMA-195
10.062882,1.2222776,Total,1AJU_L-Lysine
10.133405,1.1292028,Total,1AJU_NG-Monomethyl_arginine
8.784982,0.5098098,Total,1AJU_agmatine
10.108236,0.9816419,Total,1AJU_l-arginine
22.149347,27.630476,Total,1AJU_l-citrulline
7.587248,-1.7048278,Total,1ARJ
29.580263,-10.58423,Total,1BYJ
23.862123,-11.965046,Strat,1BYJ_Gentamicin_c1
23.980156,-12.272584,Total,1BYJ_Gentamicin_c2
21.805222,-27.542883,Total,1DDY
-25.201088,-17.474148,Total,1DL8
-24.941465,-18.78423,Total,1DL8_Compound_1
-24.500656,-18.910198,Total,1DL8_Compound_10
-25.008455,-18.742428,Total,1DL8_Compound_11
-25.98268,-18.903332,Total,1DL8_Compound_12
-25.427582,-19.670465,Total,1DL8_Compound_3
-25.061838,-19.511889,Total,1DL8_Compound_4
6.598237,-43.083725,Total,1DL8_Compound_5
-41.261005,-1.2903796,Total,1DL8_Compound_7
-25.71235,-18.769543,Strat,1DL8_Compound_9
-32.042183,-18.454586,Total,1EEL
-30.707594,-19.79316,Total,1EEL_DB226
-6.1104894,23.866173,Total,1EHT
-7.887753,26.453024,Total,1EHT_cafffeine
21.79867,-27.55708,Total,1ET4
37.247257,-3.3678787,Total,1EVV_5_episisomicin
12.210713,-26.128777,Total,1EVV_Bisamidinium_2
-33.940865,-16.79372,Total,1EVV_CMC3-1_Hoechst33258
23.757837,22.009783,Total,1EVV_Delfinidin
36.67615,-4.233594,Total,1EVV_Hygromycin_B
23.498283,22.14267,Total,1EVV_Kaempferol
37.48085,-4.5997696,Total,1EVV_Kanamycin_A
38.50832,-2.568962,Total,1EVV_Kirromycin
37.81518,-5.872262,Total,1EVV_Lividomycin
14.941036,28.150959,Total,1EVV_Methidiumpropyl-EDTA(MPE)
38.027863,-5.3471384,Strat,1EVV_Neomycin
37.418354,-5.1442623,Total,1EVV_Paromomycin_mol_mol
15.702557,28.771444,Total,1EVV_Protoporphyrin_IX
23.559702,22.111698,Total,1EVV_Quercetin
-29.879965,-13.927214,Total,1EVV_T4MPyP
-29.825186,-14.202366,Total,1EVV_TMAP
38.83165,-3.972592,Total,1EVV_Tobramycin
37.443974,-4.5097795,Total,1EVV_ribostamycin
37.288578,-3.3936958,Total,1EVV_sisomicin
-29.68688,-0.5104789,Total,1F1T
-30.264442,0.29534167,Strat,1F1T_malachite_green
21.118488,27.153433,Total,1F27
-5.10516,7.0396967,Total,1FMN
-32.042343,-18.53824,Total,1FMQ
-31.506075,-19.30738,Total,1FMQ_Cyclopentyl
