tSNE1,tSNE2,Split,Folder,NA_Type
7.5604405,-1.3978975,Strat,3UYH,DNA
10.062882,1.2222776,Total,2K4L_Genistein,DNA
-25.008455,-18.742428,Total,3U0U,DNA
-25.427582,-19.670465,Total,8TB3,DNA
-6.1104894,23.866173,Total,1FMQ,DNA
-7.887753,26.453024,Total,8TAP,DNA
38.027863,-5.3471384,Strat,8TB4,DNA
37.418354,-5.1442623,Total,4U8A,DNA
15.702557,28.771444,Total,1P96,DNA
-31.972107,-18.093565,Total,8EC1,DNA
50.07644,4.0368342,Total,209D_D-MeVal-AMD,DNA
35.293354,-10.192922,Total,8TDT,DNA
36.96144,-11.2526455,Total,7KBW,DNA
46.738415,3.254768,Strat,8TBD,DNA
-17.668966,-6.0985146,Total,2K4L_Luteolin,DNA
-24.37523,1.0463643,Total,6P45,DNA
-15.966334,-6.079492,Total,3U08,DNA
-14.649586,-5.4080234,Total,6K3Y_d(GA),DNA
-17.700348,1.8038137,Total,6K3Y,DNA
29.885288,-23.654507,Total,3QSF,DNA
28.857574,-21.81516,Total,7Z9P_Hoechst_33258,DNA
32.302353,-24.040585,Total,7WGW_dG,DNA
30.66677,-22.22749,Total,2MS6_Genistein,DNA
29.540394,-22.207159,Total,7KBX,DNA
32.44424,-23.205582,Strat,227D,DNA
29.46803,-19.80253,Total,6M5B,DNA
28.725166,-18.17267,Total,2GYX_DB262,DNA
28.470226,-22.860344,Total,8TAJ,DNA
35.283115,-28.104816,Total,2MS6,DNA
15.121295,-23.975733,Total,6V0L_Acyclovir,DNA
13.1745615,-4.262121,Total,1FTD_Compound_3,DNA
-21.095024,-3.0193353,Total,7WGW_ganciclovir,DNA
24.216959,-19.711948,Total,7X8M_coptisine,DNA
13.940786,-3.1499848,Total,8FHV,DNA
23.601019,-22.04725,Total,6J2W,DNA
20.229158,-7.24988,Strat,4U8A_cmpnd_17,DNA
34.630863,-23.934525,Total,4U8A_cmpnd_3,DNA
11.515828,-43.36203,Total,7X8M,DNA
16.785624,-5.029612,Total,8FB4,DNA
14.787201,-5.6094594,Total,5W77,DNA
8.508527,-20.573584,Total,4U8A_cmpnd_16,DNA
-15.463196,-1.5214815,Total,4U8A_cmpnd_11,DNA
